Flight,Image,PassFail,X,Y
ScootB787PBB,000219.png,1,1458.22,354.515
ScootB787PBB,000220.png,1,1458.64,357.626
ScootB787PBB,000221.png,1,1455.73,363.785
ScootB787PBB,000222.png,1,1455.66,365.155
ScootB787PBB,000223.png,1,1455.67,364.943
ScootB787PBB,000224.png,1,1455.66,364.933
ScootB787PBB,000225.png,1,1455.62,364.507
ScootB787PBB,000226.png,1,1455.66,363.743
ScootB787PBB,000227-2.png,1,1455.32,363.841
ScootB787PBB,000228.png,1,1455.35,363.993
SilkAirB737,000104.png,1,1884.45,204.723
SilkAirB737,000105.png,1,1882.37,205.053
SilkAirB737,000106.png,1,1727.37,218.203
SilkAirB737,000107.png,1,1174.04,162.86
SilkAirB737,000108.png,1,1170.49,148.981
SilkAirB737,000109.png,1,1165.4,135.856
SilkAirB737,000110.png,1,1161.17,123.473
SilkAirB737,000111.png,1,1158.21,139.874
SilkAirB737,000112.png,1,1140.86,183.751
SilkAirB737,000113.png,1,1122.41,218.974
SilkAirB737,000114.png,1,1118.16,232.469
SilkAirB737,000115.png,1,1066.04,227.561
SilkAirB737,000116.png,1,1069.14,233.642
SilkAirB737,000117.png,1,1070.15,250.611
SilkAirB737,000118.png,1,1067.11,247.454
SilkAirB737,000119.png,1,1060.87,247.436
SilkAirB737,000120.png,1,1070.33,273.489
SilkAirB737,000121.png,1,1071.45,307.275
SilkAirB737,000122.png,1,1067.38,343.232
SilkAirB737,000123.png,1,1068.61,380.141
SilkAirB737,000124.png,1,1062.46,379.407
SilkAirB737,000125.png,1,1065.74,377.897
SilkAirB737,000126.png,1,1068.21,381.216
SilkAirB737,000127.png,1,1068.99,381.739
SilkAirB737,000128.png,1,1069.51,383.012
SilkAirB737,000129.png,1,1069.17,382.108
SilkAirB737,000130.png,1,1069.39,382.564
SilkAirB737,000131.png,1,1068.02,380.506
SilkAirB737,000132.png,1,1068.49,381.229
SilkAirB737,000133.png,1,1068.47,381.229
SilkAirB737,000134.png,1,1069.07,382.46
SilkAirB737,000135.png,1,1069.29,382.201
SilkAirB737,000136.png,1,1068.46,381.19
SilkAirB737,000137.png,1,1068.42,381.404
SilkAirB737,000138.png,1,1068.63,381.305
SilkAirB737,000139.png,1,1068.11,380.236
SQB772,000125-1.png,1,1805.99,161.778
SQB772,000126-1.png,1,1770.87,160.951
SQB772,000127.png,1,1729.33,163.576
SQB772,000128.png,1,1677.51,162.797
SQB772,000129-1.png,1,1621.56,168.658
SQB772,000130.png,1,1563.18,179.546
SQB772,000131.png,1,1496.51,188.341
SQB772,000132-1.png,1,1434.84,195.117
SQB772,000133.png,1,1392.09,202.001
SQB772,000134-1.png,1,1349.35,207.633
SQB772,000135.png,1,1295.5,215.181
SQB772,000136-1.png,1,1244.19,220.803
SQB772,000137.png,1,1264.84,220.028
SQB772,000138-1.png,1,1252.8,219.399
SQB772,000139.png,1,1250.38,219.512
SQB772,000140.png,1,1254.12,220.461
SQB772,000141.png,1,1251.25,219.046
SQB772,000142.png,1,1249.3,219.602
SQB772,000143.png,1,1249.17,219.49
SQB772,000144.png,1,1250.9,218.523
SQB772,000145.png,1,1251.67,217.104
SQB772,000146.png,1,1250.45,221.38
SQB772,000147.png,1,1258.37,240.629
SQB772,000148-1.png,1,1244.57,241.181
SQB772,000149.png,1,1249.69,242.246
SQB772,000150.png,1,1253.02,243.501
SQB772,000151.png,1,1249.84,244.087
SQB772,000152.png,1,1236.99,265.743
SQB772,000153.png,1,1315.02,312.909
SQB772,000154.png,1,1333.74,333.132
SQB772,000155.png,0,,
SQB772,000156.png,0,,
SQB772,000157.png,0,,
SQB772,000158-1.png,0,,
SQB772,000159.png,0,,
SQB772,000160.png,0,,
SQB772,000161.png,0,,
SQB772,000162.png,1,1421.18,390.537
SQB772,000163.png,0,,
SQB772,000164.png,0,,
SQB772,000165.png,0,,
SQB772,000166.png,0,,
SQB772,000167.png,0,,
SQB772,000168-1.png,0,,
SQB772,000169.png,0,,
SQB772,000170.png,1,1394.9,356.429
SQB772,000171.png,1,1401.39,349.57
SQB772,000172.png,1,1409.15,351.254
SQB772,000173.png,1,1393.88,354.014
SQB772,000174.png,0,,
SQB772,000175.png,1,1405.09,391.732
SQB772,000176.png,0,,
SQB772,000177.png,0,,
SQB772,000178-1.png,0,,
SQB772,000179.png,0,,
SQB772,000180.png,0,,
SQB772,000181.png,0,,
SQB772,000182.png,0,,
SQB772,000183.png,0,,
SQB772,000184.png,0,,
SQB772,000185.png,0,,
SQB772,000186.png,0,,
SQB772,000187.png,1,1433.9,426.697
SQB772,000188.png,1,1433.56,424.88
SQB772Rain,000141.png,1,208.707,213.232
SQB772Rain,000142.png,0,,
SQB772Rain,000143.png,1,531.671,861.319
SQB772Rain,000144.png,0,,
SQB772Rain,000145.png,1,158.525,239.901
SQB772Rain,000146.png,1,103.347,260.871
SQB772Rain,000147.png,1,46.3212,288.884
SQB772Rain,000148.png,1,1488.44,148.184
SQB772Rain,000149.png,1,1412.99,178.417
SQB772Rain,000150.png,1,1419.68,173.84
SQB772Rain,000151.png,1,1892.12,213.548
SQB772Rain,000152.png,1,1411.97,181.001
SQB772Rain,000153.png,1,1404.35,150.982
SQB772Rain,000154.png,1,1400.06,177.795
SQB772Rain,000155.png,1,1397.26,174.57
SQB772Rain,000156.png,1,1395.24,172.407
SQB772Rain,000157.png,1,1398.28,182.59
SQB772Rain,000158.png,1,1400.96,203.179
SQB772Rain,000159.png,1,1399.02,203.467
SQB772Rain,000160.png,1,1404.91,209.976
SQB772Rain,000161.png,1,1398.86,210.906
SQB772Rain,000162.png,1,1410.43,235.869
SQB772Rain,000163.png,1,1432.29,287.531
SQB772Rain,000164.png,0,,
SQB772Rain,000165.png,0,,
SQB772Rain,000166.png,0,,
SQB772Rain,000167.png,0,,
SQB772Rain,000168.png,1,1460.87,386.14
SQB772Rain,000169.png,0,,
SQB772Rain,000170.png,0,,
SQB772Rain,000171.png,0,,
SQB772Rain,000172.png,0,,
SQB772Rain,000173.png,0,,
SQB772Rain,000174.png,1,1450.54,415.318
SQB772Rain,000175.png,0,,
SQB772Rain,000176.png,0,,
SQB772Rain,000177.png,1,1453.39,419.622
SQB772Rain,000178.png,0,,
SQB772Rain,000179.png,0,,
SQB772Rain,000180.png,0,,
SQB772Rain,000181.png,0,,
SQB772Rain,000182.png,0,,
TigerAirA320,000140.png,1,1885,160.149
TigerAirA320,000141.png,1,1887.32,160.93
TigerAirA320,000142.png,1,1890.33,162.7
TigerAirA320,000143.png,1,1886.23,161.563
TigerAirA320,000144.png,1,1883.89,169.782
TigerAirA320,000145.png,1,1888.1,198.56
TigerAirA320,000146.png,1,1735.48,210.237
TigerAirA320,000147.png,1,1739.69,249.401
TigerAirA320,000148.png,0,,
TigerAirA320,000149.png,0,,
TigerAirA320,000150.png,0,,
TigerAirA320,000151.png,1,142.81,310.696
TigerAirA320,000152.png,0,,
TigerAirA320,000153.png,0,,
TigerAirA320,000154.png,1,78.0685,308.103
TigerAirA320,000155.png,1,112.069,356.578
TigerAirA320,000156.png,1,67.5792,324.122
TigerAirA320,000157.png,1,40.2418,226.938
TigerAirA320,000158.png,1,84.4499,325.133
TigerAirA320,000159.png,1,82.895,331.339
TigerAirA320,000160.png,1,43.1957,224.992
TigerAirA320,000161.png,1,46.3039,221.753
TigerAirA320,000162.png,1,45.8337,225.843
TigerAirA320,000163.png,1,36.6139,229.788
TigerAirA320,000164.png,1,59.1084,343.391
TigerAirA320,000165.png,1,61.9305,346.599
TigerAirA320,000166.png,1,59.5307,342.845
TigerAirA320,000167.png,1,62.07,342.725
TigerAirA320,000168.png,1,68.2055,334.938
TigerAirA320,000169.png,1,71.171,332.069
TigerAirA320,000170.png,0,,
TigerAirA320,000171.png,0,,
TigerAirA320,000172.png,0,,
TigerAirA320,000173.png,0,,
TigerAirA320,000174.png,0,,
TigerAirA320,000175.png,0,,
TigerAirA320,000176.png,0,,
TigerAirA320,000177.png,0,,
TigerAirA320,000178.png,0,,
TigerAirA320,000179.png,1,70.8747,338.048
TigerAirA320,000180.png,1,86.8704,368.72
TigerAirA320,000181.png,1,72.7117,337.579
TigerAirA320,000182.png,0,,
TigerAirA320,000183.png,1,83.0881,374.711
TigerAirA320,000184.png,0,,
TigerAirA320,000185.png,0,,
TigerAirA320,000186.png,0,,
TigerAirA320,000187.png,0,,
TigerAirA320,000188.png,0,,
TigerAirA320,000189.png,0,,
TigerAirA320,000190.png,0,,
TigerAirA320,000191.png,0,,
TigerAirA320,000192.png,0,,
TigerAirA320,000193.png,0,,
TigerAirA320,000194.png,0,,
TigerAirA320,000195.png,0,,
TigerAirA320,000196.png,0,,
TigerAirA320,000197.png,0,,
TigerAirA320,000198.png,0,,
TigerAirA320,000199.png,0,,
TigerAirA320,000200.png,0,,
TigerAirA320,000201.png,0,,
TigerAirA320,000202.png,0,,
TigerAirA320,000203.png,0,,
TigerAirA320,000204.png,0,,
TigerAirA320,000205.png,0,,
TigerAirA320,000206.png,0,,
TigerAirA320,000207.png,0,,
TigerAirA320,000208.png,0,,
TigerAirA320,000209.png,0,,
TigerAirA320,000210.png,0,,
TigerAirA320,000211.png,0,,
TigerAirA320,000212.png,0,,
TigerAirA320,000213.png,0,,
TigerAirA320Rain,000120.png,1,272.933,166.197
TigerAirA320Rain,000121.png,1,235.723,180.74
TigerAirA320Rain,000122.png,1,1666.71,114.138
TigerAirA320Rain,000123.png,1,1669.56,114.468
TigerAirA320Rain,000124.png,1,1688.24,128.056
TigerAirA320Rain,000125.png,1,1723.57,153.038
TigerAirA320Rain,000126.png,1,1777.51,198.335
TigerAirA320Rain,000127.png,1,1636.8,242.501
TigerAirA320Rain,000128.png,0,,
TigerAirA320Rain,000129.png,1,844.995,625.267
TigerAirA320Rain,000130.png,0,,
TigerAirA320Rain,000131.png,0,,
TigerAirA320Rain,000132.png,0,,
TigerAirA320Rain,000133.png,1,29.1979,80.4303
TigerAirA320Rain,000134.png,1,814.186,694.313
TigerAirA320Rain,000135.png,0,,
TigerAirA320Rain,000136.png,1,29.5608,69.4263
TigerAirA320Rain,000137.png,1,1766.67,392.68
TigerAirA320Rain,000138.png,1,1820.24,1003.42
TigerAirA320Rain,000139.png,1,1820.64,1004.62
TigerAirA320Rain,000140.png,0,,
TigerAirA320Rain,000141.png,0,,
TigerAirA320Rain,000142.png,1,1822.06,1008.58
TigerAirA320Rain,000143.png,1,1821.15,1006.13
TigerAirA320Rain,000144.png,0,,
TigerAirA320Rain,000145.png,1,1813.95,447.03
TigerAirA320Rain,000146.png,1,1812.58,444.771
TigerAirA320Rain,000147.png,1,1824.05,1014.26
TigerAirA320Rain,000148.png,1,1819.66,1001.67
TigerAirA320Rain,000149.png,0,,
TigerAirA320Rain,000150.png,1,1814.03,443.731
TigerAirA320Rain,000151.png,1,1813.9,446.777
TigerAirA320Rain,000152.png,1,1814.67,444.85
TigerAirA320Rain,000153.png,1,1814.3,445.309
TigerAirA320Rain,000154.png,1,1820.81,1004.97
TigerAirA320Rain,000155.png,1,50.7575,554.932
TigerAirA320Rain,000156.png,0,,
TigerAirA320Rain,000157.png,1,1821.39,1007.18
